ISSN,IMPACT_FACTOR
0148-5598,2.0980000000000003
0376-7388,6.577999999999999
0263-4929,4.418
1932-5150,1.2990000000000002
1057-7157,2.475
0960-1317,1.8880000000000001
1450-5339,1.4
2166-532X,4.127
1452-8630,0.887
2468-0834,1.3619999999999999
0169-1317,3.641
2040-5790,1.246
0306-2619,7.9
1541-2016,2.042
0175-7598,3.34
0947-8396,1.604
0946-2171,1.881
0946-2171,1.881
0969-6016,2.4
1065-2469,0.828
1079-8587,0.652
1569-9293,1.756
0308-0188,0.311
0092-2102,0.889
0266-5611,1.946
1930-8337,1.465
2008-3866,1.514
1728-3043,0.33799999999999997
1735-8582,1.192
0009-3068,0.126
1527-8999,4.891
0379-864X,3.235
0009-2851,0.529
2451-9294,14.104000000000001
0169-7439,2.701
2095-0195,1.0959999999999999
0301-3073,1.321
2095-9184,0.91
2095-9184,0.91
2155-3769,0.907
1662-5218,2.6060000000000003
1663-9812,3.8310000000000004
0378-3820,3.9560000000000004
1536-383X,1.011
1536-383X,1.011
1754-5048,3.736
1536-1055,0.991
0966-6362,2.273
1436-3291,5.045
0168-1923,4.039
1774-0746,4.503
0001-1452,1.556
0269-9370,4.914
0889-2229,1.935
0889-2229,1.935
1608-5906,0.81
0266-352X,3.138
0166-3615,2.85
0010-4620,0.792
1477-8424,1.84
0891-2017,1.319
1093-9687,5.475
1552-5031,0.684
2076-3417,1.689
2076-3417,1.689
0929-1393,2.9160000000000004
0003-7028,1.642
0570-4928,2.826
1524-1904,1.062
0169-4332,4.439
0169-4332,4.439
0304-3770,1.787
1052-7613,2.988
1015-1621,3.622
1015-1621,3.622
1942-7603,2.9930000000000003
1942-7603,2.9930000000000003
1020-3397,0.7170000000000001
1755-6910,0.87
0197-9337,3.722
2074-1804,0.7859999999999999
0791-6833,0.303
0019-0578,3.37
1383-4649,1.128
0887-8250,1.7530000000000001
1687-725X,2.057
1743-6095,3.339
0022-4502,1.4409999999999998
1058-2746,2.8489999999999998
1058-2746,2.8489999999999998
