First Author,Other Authors,Article Title,Date of Publication,Type of Publication,Publication,Volume (issue),ISSN,Archive,References Viewable?,Order Article?,ACL Citations,Keywords,DOI / HTML Address,Journal Impact Factor (uses ResearchGate data),Journal Impact Factor (Clarivate),Search Engine Ranking,Unique Site Visits (monthly),Pages per Visit,Views (Not Including Downloads),Citations,Downloads,"AltMetric (Shares, Likes, Comments)",Date Located,IMPACT_FACTOR
"Oladipo, J. A.",,Utilization of Health Care Services in Rural and Urban Areas: A Determinant Factor in Planning and Managing Health Care Delivery Systems,2014-06-01 00:00:00,Journal,African Health Sciences,14(2),1680-6905,PMC,Yes,,No,,https://dx.doi.org/10.4314%2Fahs.v14i2.6,,,,,,,,,,2018-07-09,0.8420000000000001
"Levine, C.",,Who's Responsible for Granny?,2014-05-01 00:00:00,Journal,AMA Journal of Ethics,16(5),2376-6980,AMA,Yes,,"Aging Integrated Database (AGID) [Data-at-a-Glance: State Level Population Estimates];
A Profile of Older Americans: 2012 [AoA]","""AGID"" AND ""ACL""",http://journalofethics.ama-assn.org/2014/05/pdf/msoc1-1405.pdf,,,,,,,,,,2018-06-19,
"Heymann, D. L.",,Public Health Surveillance for Communicable Diseases: From Rigid and Static to Flexible and Innovative,2017-06-01 00:00:00,Journal,American Journal of Public Health,107(6),0271-4353,American Journal of Public Health,Yes,,No,"""NSOAAP""",DOI:10.2105/AJPH.2017.303795,,,,,,,,,,2018-06-28,
"Marra, M. V.","Wellman, N. S.",Multivitamin-Mineral Supplements in the Older Americans Act Nutrition Program: Not a One-Size-Fits-All Quick Fix,2008-07-01 00:00:00,Journal,American Journal of Public Health,98(7),0271-4353,American Public Health Association,Yes,,"Highlights from the Pilot Study: Second National Survey of Older Americans Act Title III Service Recipients [AoA];
Serving Elders at Risk: The Older Americans Act Nutrition Programs: National Evaluation of the Elderly Nutrition Program 1993-1995 [AoA];
FY 2006 US Profile of OAA Programs [AoA];
Gateway to the Older Americans Act Amendments of 2006 [AoA]",,10.2105/AJPH.2007.122762,3.95,,,,,,15.0,,,2018-07-09,
"Ogunseye, S.","Komiak, S. X. Y., Komiak, P.",The Impact of Senior-Friendliness Guidelines on Seniors' Use of Personal Health Records,2015-10-21 00:00:00,Conference Paper,2015 International Conference on Healthcare Informatics,,,IEEE Explore,Yes,,Aging Integrated Database (AGID),"""AGID"" AND ""ACL""",https://doi.org/10.1109/ICHI.2015.110,,,,6853000,3.29,50.0,,,,2018-06-19,
"Wellman, N. S.","Kamp, B., Kirk-Sanchez, N. J., & Johnson, P. M.",Eat Better & Move More: A Community-Based Program Designed to Improve Diets and Increase Physical Activity Among Older Americans,2007,Journal,American Journal of Public Health,97(4),0271-4353,PMC,Yes,,"Older Americans Act Nutrition Program [AoA, web];
Serving Elders at Risk: The Older Americans Act Nutrition Programs, National Evaluation of Elderly Nutrition Program, 1993-1995. Vol. 1: Title III: Evaluation Findings [AoA];
You Can! Steps to Healthier Aging Campaign [AoA];
Performance Outcomes Measures Project (POMP) Congregate Meals Survey Version 3: 2004 [AoA]",,https://dx.doi.org/10.2105%2FAJPH.2006.090522,3.95,,,,,100.0,63.0,,,2018-07-09,
"Stark, S.","Somerville, E., Keglovits, M., Conte, J., Li, M., Hu, Y. L., & Yan, Y.","Protocol for the home hazards removal program (HARP) study: a pragmatic, randomized clinical trial and implementation study",2017-04-20 00:00:00,Journal,BMC Geriatrics,,1471-2318,BMC Geriatrics,Yes,,National Aging Program Information System (NAPIS),"""NAPIS""",https://doi.org/10.1186/s12877-017-0478-4,3.33,,,,,2278.0,2.0,,8.0,2018-07-02,2.866
"Anderson-Brown, A. M.",,"Perspectives of Spirituality, Aging, and Caregiver Stress Among Adult Caregivers",2016-02-01 00:00:00,Academic Thesis,,,,ProQuest,No,Dissertation - Maybe?,,"""AGID"" AND ""ACL""",https://search.proquest.com/openview/00f5549ee8d61ca90a622075f95bd1dc/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-19,
"Austin, M. A.",,The Aging Population and Long-Term Care: A Phenomenological Study,2016,Academic Thesis,,,,ProQuest,No,Dissertation - Maybe?,,"""AGID"" AND ""ACL""",https://search.proquest.com/openview/fe5ff47fcc7b2fa1db5fc8a3f5fbb2a3/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-19,
"Cannell, M. B.",,"Frequency and Effects of Physical, Verbal, and Sexual Abuse in Older Adults",2013,Academic Thesis,University of Florida,,,ProQuest,No,Dissertation - Maybe?,,"""NORS"" AND ""OAA""",https://search.proquest.com/openview/8b0dda537c17a658ae15091dc6ec6f6d/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-28,
"Baggett, S.",,Residential Care for the Elderly: Critical Issues in Public Policy,1989,Book,Greenwood Publishing Group,,,Google Books,No,N,,"""National Survey of Area Agencies on Aging""",https://books.google.com/books?id=8L4GVdrJnAIC&dq=%22National+Survey+of+Area+Agencies+on+Aging%22+AND+%22data%22&lr=&source=gbs_navlinks_s,,,,29450000,2.0,,,,,2018-06-28,
"Houser, A.","Ujvari, K.",The State of Measurement of Respite Care,n. d.,Research Brief,AARP Public Policy Institute,,,Long Term Scorecard,Yes,,State Program Reports (SPR),"""State Program Reports"" AND ""OAA"" ",http://www.longtermscorecard.org/~/media/Files/Scorecard%20site/Report/Publications/Final%20Respite%20Paper%2071012.pdf,,,7185124,"< 5,000",1.69,,,,,2018-06-27,
"Balsam, A. L.","Bottum, C. L.",Understanding the Aging and Public Health Networks,1997-04-09 00:00:00,Book Chapter,Public Health and Aging,,,Google Books,No,N,,"""NAPIS""",https://books.google.com/books?id=NxtGG-oulSIC&dq=%22National+Aging+Program+Information+System%22+AND+%22data%22&lr=&source=gbs_navlinks_s,,,,29450000,2.0,,,,,2018-06-28,
"Brason, L.",,Challenges Facing Case Management in a Changing Social Service Environment,2001,Journal,Care Management Journals,3(1),1521-0987,ProQuest,No,Yes,,"""NAPIS""",https://search.proquest.com/openview/c3ba1d9e8187942a42863b96a82d0ccd/1?pq-origsite=gscholar&cbl=28724,0.33,,,,,,2.0,,,2018-07-02,
"Bellizzi, K. M.","Gosney, M.",Cancer and Aging Handbook: Research and Practice,2012-07-20 00:00:00,Book,John Wiley & Sons,,,Google Books,No,N,,"""National Survey of Area Agencies on Aging""",https://books.google.com/books?id=cAgcoQhT9gEC&dq=%22National+Survey+of+Area+Agencies+on+Aging%22+AND+%22data%22&lr=&source=gbs_navlinks_s,,,,29450000,2.0,,,,,2018-06-28,
"Choi, N. G.","Sirey, J. A., & Bruce, M. L.",Depression in Hoembound Older Adults: Recent Advances in Screening and Psychosocial Interventions,2014-03-01 00:00:00,Journal,Current Translational Geriatrics and Gerontology Reports,2(1),2162-4941,PMC,Yes,,"Substance Abuse and Mental Health Services Administration Older Americans Behavioral Health Technical Assistance Center. Older Americans Behavioral Health Issue Brief: Series Overview [AoA];
Substance Abuse and Mental Health Services Administration Older Americans Behavioral Health Technical Assistance Center. Older Americans Behavioral Health Issue Brief 1 [AoA];
Facts [AoA, web];
Outline of 2006 Amendments to the Older Americans Act [AoA, web]",,https://dx.doi.org/10.1007%2Fs13670-012-0032-3,0.35,,,,,,15.0,1400.0,,2018-07-06,
"Koffman, D.","Raphael, D., & Weiner, R.",The Impact of Federal Programs on Transportation for Older Adults,2004-12-01 00:00:00,Research Brief,AARP Public Policy Institute,,,,Yes,,"The Administration on Aging and the Older Americans Act: Fact Sheet [AoA];
Older American Act Appropriation Information [AoA, web];
2000 State Program reports (SPR): FY 2000 Profile of the United States OAA Programs;
Final Fiscal Year 2003 GPRA Annual Performance Plan [AoA];
Native American Elders Number and Percent of Units of Supportive and Nutrition Services Provided: Grant Years 1991-1995 [AoA];
Title III State and Community Programs [AoA, web];
Home and Community-based Care: Fact Sheet [AoA, web]","""State Program Reports"" AND ""OAA"" ",http://www.ctaa.org/webmodules/webarticles/articlefiles/senior_funding.pdf,,,1152590,10587,5.85,,,,,2018-06-27,
"Korda, H.","Erdem, E., Woodcock, C., Kloc, M., Pedersen, S., & Jenkins, S.",Racial and Ethnic Minority Participants in Chronic Disease Self-Management Programs: Findings from the Communities Putting Prevention to Work Initiative,2013,Journal,Ethnicity and Disease,23,1049-510X,ISHIB,Yes,,"PRODUCED BY ACL;
Sustainable Infrastructure and Delivery System Self-Assessment","""HHSP233201100492G""",http://www.ishib.org/ED/journal/23-4/ethn-23-04-508.pdf,1.11,,,,,,8.0,,,2018-07-02,1.053
"Erdem, E.","Korda, H.",Self-Management Program Participation by Older Adults With Diabetes,2014,Journal,Family and Community Health (The Journal of Health Promotion & Maintenance),37(2),0160-6379,CEACW,Yes,,PRODUCED BY ACL,"""HHSP233201100492G""",http://www.ceacw.org/docs/Self-Management-Program-Participation-by-Older-Adults-with-Diabetes.pdf,0.33,,,,,,15.0,,,2018-07-02,1.365
"Boutaugh, M. L.","Lawrence, L. J.",Fostering healthy aging through evidence-based prevention programs: Perspectives from the Administration for Community Living/Administration on Aging,2015-04-27 00:00:00,Web Journal,Frontiers in Public Health,2,,Frontiers in Public Health,Yes,,"""About ACL"" (web);
""Older Americans Act (OAA) Reauthorization"" (web);
""Disease Prevention and Health Promotion Services (OAA Title IIID)"" (web);
""Prevention and Public Health Funds: Empowering Older Adults and Adults with Disabilities through Chronic Disease Self-Management Education Programs"" (web);
""Center for Disability and Aging Policy, Office of Integrated Programs, Aging and Disability Resource Centers Program"" (web)
""Announcement. ACL Funds Evidence-Based Falls Prevention Grants"" (web)","""AGID"" AND ""ACL"" AND ""NORS"" AND ""OAA""",https://doi.org/10.3389/fpubh.2014.00236,2.11,,,,,2751.0,2.0,,,2018-06-19,
"Gaeta, R. D.",,Community Living and Health Services Utilization Among the Aging Services Network Population,2017,Academic Thesis,,,,ProQuest,No,Dissertation - Maybe?,,"""AGID"" AND ""ACL""",https://search.proquest.com/openview/b766c55ba3f7738965ac3beb0ede136b/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-19,
